idmesa,codimesa,mesatancada,comarca,vnuls,vblancs,verc,vjxc,vcup,vpsc,vcs,vppc,vcom,vpacma,vdialeg,vpumjust,vrecortes,vfamilia,vdn,vpfiv,vconver,vunidos,vcilus,cens,acta,hihavots,hihaacta,origen,datetime,user,mesavalidada,mesacorrecte
2121,0801509052U,1,BARCELONES,2,10,50,14,10,107,220,69,54,5,0,0,2,0,0,0,0,0,0,663,2121-1516779826-243ab89466f38ee750a1f01628fccb04-97d95315cd0f8a24ee420fa3584f8485.jpg,1,1,CDR,2018-01-24 11:34:44,barcelon01,1,1
2122,0801509053U,1,BARCELONES,2,3,62,28,4,117,233,69,49,5,0,0,2,0,0,0,0,0,0,796,2122-1516609192-7bff5669dd025009937ae65937e0af63-4f46512a8c8e35ff84c81f1c5dc99876.jpg,1,1,CDR,2018-01-22 16:31:24,acta2vots,1,1
2123,0801509054U,1,BARCELONES,1,3,68,17,7,162,340,72,64,11,,,2,,,,,,,896,2123-1516779826-433d11218a9e8d2e7f75493319fd1128-b3e3043b0fc07609813e38047dfeef5c.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2124,0801509057U,1,BARCELONES,2,0,110,55,7,121,244,66,64,13,0,0,2,0,0,0,0,0,0,918,2124-1516779826-23e1dfac23468134c702be26ccd5d7a1-a859daf8eca02511f663adf3e763716f.jpg,1,1,CDR,2018-01-24 11:35:28,barcelon01,1,1
2125,0801509058A,1,BARCELONES,5,0,66,16,10,82,169,39,42,4,0,0,1,0,0,0,0,0,0,502,2125-1516779826-b51bf726587bae4e56f8028b7a0005cc-5d3c305efab0ded92d9a21ad64bedafb.jpg,1,1,CDR,2018-01-24 11:36:11,barcelon01,1,1
2126,0801509058B,1,BARCELONES,4,3,60,21,7,98,187,58,48,4,0,0,2,0,0,0,0,0,0,588,2126-1516779826-b4d186fa256db2bee62e9bc113ee4d16-e48015e212e29d6aeced8ad8e5f8570a.jpg,1,1,CDR,2018-01-24 11:36:56,barcelon01,1,1
2127,0801509059U,1,BARCELONES,1,6,128,58,16,103,246,58,60,11,0,0,1,0,0,0,0,0,0,836,2127-1516779826-2fdba159b569e8548627ef4f0c44cfa5-a5145edd54f586cac4b61fd35f18832e.jpg,1,1,CDR,2018-01-24 11:37:38,barcelon01,1,1
2128,0810101001A,1,BARCELONES,2,2,140,62,27,167,192,29,109,3,,,3,,,,,,,853,2128-ba8f3bc8-0753-4539-b2a0-b21dd912c16b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2129,0810101001B,1,BARCELONES,1,5,153,49,18,204,274,12,118,12,,,3,,,,,,,992,2129-efcd9000-4f24-49af-8610-d07cca1dc5d7.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2130,0810101002A,1,BARCELONES,,1,68,40,10,97,167,21,38,4,,,3,,,,,,,542,2130-e9c842b9-2593-48ed-a5b2-e37478311c2c.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2131,0810101002B,1,BARCELONES,1,1,80,55,9,146,155,27,51,2,,,4,,,,,,,626,2131-a01c76d5-6e8f-4770-8816-dd34d8983538.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2132,0810101003U,1,BARCELONES,,1,115,71,12,88,117,16,48,3,,,1,,,,,,,559,2132-58b4b6f0-baf0-4c96-9fa5-d4ffa851d6a2.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2133,0810101004U,1,BARCELONES,2,1,125,126,26,95,103,19,56,6,,,3,,,,,,,673,2133-9219c1b7-a773-485c-83e7-d51e7a5de584.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2134,0810101005U,1,BARCELONES,2,3,176,94,29,142,181,37,86,12,,0,3,,,,,,,877,2134-9c79eb1c-8ad4-4069-94e8-2d5de86bfdb5.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2135,0810101006A,1,BARCELONES,1,3,90,43,17,111,182,27,44,4,,,1,,,,,,,639,2135-51f38489-e7ef-4d1c-829b-ab815fa57b4a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2136,0810101006B,1,BARCELONES,,1,82,37,10,142,230,27,56,8,,,4,,,,,,,705,2136-6525fa54-f41a-4122-b465-fe8a9f02116f.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2137,0810101007A,1,BARCELONES,3,3,69,33,10,99,148,21,34,5,,,,,,,,,,535,2137-59bbbba0-b7f6-449c-9b71-bb6319616480.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2138,0810101007B,1,BARCELONES,,1,72,41,13,103,191,17,42,11,,,2,,,,,,,628,2138-de9a328a-497e-4125-ad80-250e53fed58d.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2139,0810101008A,1,BARCELONES,,3,90,85,27,65,67,12,50,4,,,1,,,,,,,488,2139-3a013444-e8fb-4446-96aa-155f703621a9.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2140,0810101008B,1,BARCELONES,6,4,121,115,38,68,71,10,49,5,,,,,,,,,,581,2140-513902cf-e70d-44fe-a5d7-7f842b08b4ae.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2141,0810101009U,1,BARCELONES,,2,221,132,47,108,154,36,71,4,,,3,,,,,,,890,2141-076120b1-80fb-422e-94e1-e18783f647d6.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2142,0810101010U,1,BARCELONES,6,4,142,78,17,150,239,34,82,2,,,1,,,,,,,891,2142-5d6dc2d4-df55-4600-a4e5-91392e4a7fab.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2143,0810101011U,1,BARCELONES,3,2,119,75,20,113,146,23,43,4,,,2,,,,,,,645,2143-1516815497-ec8d0f6b4a2568bc125e27e9bbef54f3-c373aa1e8e72db7c5bb5f96674e96d4b.jpg,1,1,CDR,2018-01-24 23:46:02,barcelon01,1,1
2144,0810101012A,1,BARCELONES,5,1,120,88,18,87,144,15,67,3,,,,,,,,,,607,2144-c7092e81-669c-4cd6-a09f-943a7a1a57ba.jpg,1,1,ANC,2017-12-31 10:01:15,,1,0
2145,0810101012B,1,BARCELONES,2,2,117,79,25,82,140,18,60,4,,,3,,,,,,,606,2145-a4efbca8-9803-48aa-bb5c-f1ab40d0d456.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2146,0810101013A,1,BARCELONES,1,1,93,60,18,94,146,18,45,5,,,2,,,,,,,569,2146-1516815497-3c91693d9d69814b9625ec15900c2fdc-a7dc46ebd2c52b13d51bc594b8917862.jpg,1,1,CDR,2018-01-24 23:47:23,barcelon01,1,1
2147,0810101013B,1,BARCELONES,1,1,106,63,22,118,186,27,58,5,,,3,,,,,,,674,2147-1516815497-2235c63980bef93d08db7c9e7c754df5-bdfb973e34f331be26248b4a2e83fe24.jpg,1,1,CDR,2018-01-24 23:49:14,barcelon01,1,1
2148,0810101014A,1,BARCELONES,,4,64,34,9,109,132,20,38,5,,,2,,,,,,,514,2148-3563f741-fbc5-41de-9a23-4eeef888b00e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2149,0810101014B,1,BARCELONES,2,1,62,44,17,101,171,30,55,2,,,1,,,,,,,588,2149-22f24e52-875a-499c-bb32-0ce217396bc1.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2150,0810101015U,1,BARCELONES,,7,138,58,21,147,229,33,85,8,,,7,,,,,,,906,2150-2f5747c3-258e-43cb-a0bd-c95b4a9129fa.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2151,0810101016A,1,BARCELONES,,,36,17,2,142,156,22,35,8,,,1,,,,,,,489,2151-45daa5b3-5a48-4e7c-a426-96db31b5e923.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2152,0810101016B,1,BARCELONES,3,2,58,19,8,140,177,42,49,6,,,1,,,,,,,593,2152-0dadecb5-8654-42c3-a95d-a3cbbd2c520e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2153,0810101017A,1,BARCELONES,2,2,89,33,17,147,190,26,46,6,,,2,,,,,,,666,2153-9d0090fb-f2a6-4870-9a5a-3c2e6ecb4e5e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2154,0810101017B,1,BARCELONES,4,3,108,38,13,154,228,35,51,4,,,1,,,,,,,766,2154-94b970a7-5da8-4d6f-866e-2d0e65a6693b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
