IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
47,1706601008U,17,c1729,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,8,,U,A,Z,,c1729,CENTRE SOCIAL HORTA CAPALLERA ; CARRE PUIG ROM S/N,CENTRE SOCIAL HORTA CAPALLERA,CARRE PUIG ROM S/N,47#1706601008U#CENTRE SOCIAL HORTA CAPALLERA ; CARRE PUIG ROM S/N,
48,1706602001U,17,c1729,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,2,1,,U,A,Z,,c1729,ARXIU MUNICIPAL DE FIGUERES ; CARRE MORERIA 9,ARXIU MUNICIPAL DE FIGUERES,CARRE MORERIA 9,48#1706602001U#ARXIU MUNICIPAL DE FIGUERES ; CARRE MORERIA 9,
49,1706602002U,17,c1730,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,2,2,,U,A,Z,,c1730,LOCAL SOCIAL DE L'HORTA DE L'HOSPITAL ; PLAÇA HORTA DE L'HOSPITAL 1,LOCAL SOCIAL DE L'HORTA DE L'HOSPITAL,PLAÇA HORTA DE L'HOSPITAL 1,49#1706602002U#LOCAL SOCIAL DE L'HORTA DE L'HOSPITAL ; PLAÇA HORTA DE L'HOSPITAL 1,
50,1706602004A,17,c1731,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,2,4,,A,A,Z,,c1731,CENTRE SOCIAL DE L'EIXAMPLE ; CARRE NARCIS SOLER 6,CENTRE SOCIAL DE L'EIXAMPLE,CARRE NARCIS SOLER 6,50#1706602004A#CENTRE SOCIAL DE L'EIXAMPLE ; CARRE NARCIS SOLER 6,
51,1706602004B,17,c1731,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,2,4,,B,A,Z,,c1731,CENTRE SOCIAL DE L'EIXAMPLE ; CARRE NARCIS SOLER 6,CENTRE SOCIAL DE L'EIXAMPLE,CARRE NARCIS SOLER 6,51#1706602004B#CENTRE SOCIAL DE L'EIXAMPLE ; CARRE NARCIS SOLER 6,
52,1706602005U,17,c3003,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,2,5,,U,A,L,,c3003,COL·LEGI JOSEP PALLACH ; CARRE FOSSOS 1,COL·LEGI JOSEP PALLACH,CARRE FOSSOS 1,52#1706602005U#COL·LEGI JOSEP PALLACH ; CARRE FOSSOS 1,
53,1706603001U,17,c3002,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,1,,U,M,Z,,c3002,ASIL VILALLONGA ; AV VILALLONGA 3,ASIL VILALLONGA,AV VILALLONGA 3,53#1706603001U#ASIL VILALLONGA ; AV VILALLONGA 3,
54,1706603002A,17,c1734,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,2,,A,A,Z,,c1734,COL·LEGI JOSEP PALLACH ; CARRE FOSSOS 1,COL·LEGI JOSEP PALLACH,CARRE FOSSOS 1,54#1706603002A#COL·LEGI JOSEP PALLACH ; CARRE FOSSOS 1,
55,1706603002B,17,c1735,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,2,,B,A,Z,,c1735,ANTIC AJUNTAMENT DE VILATENIM ; CARRE NOU DE VILATENIM 13 - VILATENIM,ANTIC AJUNTAMENT DE VILATENIM,CARRE NOU DE VILATENIM 13 - VILATENIM,55#1706603002B#ANTIC AJUNTAMENT DE VILATENIM ; CARRE NOU DE VILATENIM 13 - VILATENIM,
56,1706601002U,17,c1734,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,2,1,U,A,Z,,c1734,SALA D'ACTES DE LA BIBLIOTECA MUNICIPAL ; CARRE MANUEL DE FALLA 1,SALA D'ACTES DE LA BIBLIOTECA MUNICIPAL,CARRE MANUEL DE FALLA 1,56#1706601002U#SALA D'ACTES DE LA BIBLIOTECA MUNICIPAL ; CARRE MANUEL DE FALLA 1,
